epoch,train_loss,val_loss,train_miou,val_miou,lr,time_s,iou_cls0,iou_cls1,iou_cls2,iou_cls3,iou_cls4,iou_cls5,iou_cls6,iou_cls7,iou_cls8,iou_cls9
68,0.45065,0.44125,0.5129,0.51572,0.00025,60.2,0.7728,0.64221,0.62824,0.34499,0.30352,0.52462,0.19013,0.27708,0.50231,0.9713
69,0.45078,0.44005,0.51286,0.5235,0.00025,59.1,0.76593,0.64464,0.63351,0.33831,0.31465,0.52874,0.226,0.29015,0.52322,0.96983
70,0.45152,0.44115,0.51244,0.51315,0.00025,88.7,0.76914,0.63572,0.62547,0.32594,0.30667,0.52602,0.19543,0.27715,0.49997,0.97001
71,0.45368,0.4406,0.51045,0.51851,0.00025,116.1,0.7712,0.64219,0.62892,0.33635,0.31079,0.5277,0.20288,0.27969,0.51438,0.97102
72,0.45031,0.44282,0.513,0.52031,0.00025,111.1,0.77109,0.64445,0.63362,0.36137,0.31147,0.52521,0.17849,0.2828,0.52374,0.97081
73,0.44767,0.44042,0.51256,0.51978,0.00025,108.6,0.76948,0.63878,0.62836,0.34708,0.31202,0.5298,0.20271,0.28101,0.51837,0.97018
74,0.4485,0.43923,0.51401,0.51567,0.00025,110.0,0.77094,0.64252,0.63324,0.34129,0.31243,0.51715,0.18567,0.27745,0.50585,0.97019
75,0.45039,0.44036,0.51278,0.51919,0.000125,107.9,0.7711,0.63937,0.62766,0.34153,0.30913,0.53281,0.20047,0.28167,0.51758,0.97061
76,0.4431,0.43861,0.51607,0.52263,0.000125,231.5,0.77241,0.64515,0.63781,0.34511,0.31206,0.53922,0.19759,0.29442,0.51185,0.97073
77,0.44159,0.43594,0.51629,0.52402,0.000125,277.4,0.76803,0.64481,0.63501,0.34808,0.31585,0.5301,0.20981,0.29456,0.52389,0.97003
78,0.44076,0.43604,0.5164,0.52468,0.000125,92.7,0.77078,0.64675,0.63513,0.34718,0.31268,0.53857,0.21571,0.28966,0.51945,0.97084
79,0.44306,0.4353,0.51633,0.5224,0.000125,67.7,0.772,0.64548,0.63201,0.34528,0.31075,0.53969,0.20172,0.28729,0.51943,0.97039
80,0.44566,0.43521,0.51436,0.52455,0.000125,70.4,0.76934,0.6432,0.63597,0.34839,0.31444,0.53946,0.19466,0.30552,0.52408,0.9704
81,0.44254,0.43239,0.51677,0.5219,0.000125,69.8,0.77197,0.64668,0.63347,0.34657,0.31352,0.53921,0.19203,0.28424,0.52046,0.97078
82,0.44054,0.43287,0.51705,0.52377,0.000125,91.6,0.76817,0.64534,0.63482,0.34482,0.31404,0.53799,0.20502,0.29479,0.52277,0.96992
83,0.44232,0.43397,0.5157,0.52327,0.000125,63.1,0.77229,0.64697,0.63062,0.33904,0.31068,0.53718,0.21609,0.28795,0.52118,0.97074
84,0.4364,0.43239,0.5188,0.52447,6.25e-05,163.4,0.77154,0.6473,0.63488,0.34903,0.31562,0.54042,0.20791,0.28189,0.52537,0.97074
85,0.43785,0.43003,0.51851,0.5231,6.25e-05,86.4,0.77002,0.64407,0.63339,0.34921,0.31579,0.53872,0.19393,0.2901,0.5254,0.97032
86,0.43665,0.43184,0.51791,0.52492,6.25e-05,102.9,0.77132,0.64602,0.63605,0.3466,0.31403,0.53815,0.21821,0.29147,0.51679,0.97059
87,0.43807,0.43139,0.51763,0.52581,6.25e-05,64.2,0.77313,0.64546,0.63592,0.35331,0.31455,0.53904,0.2171,0.28864,0.52001,0.97093
88,0.43472,0.43063,0.51985,0.52661,6.25e-05,64.8,0.77057,0.649,0.63718,0.35046,0.31516,0.54667,0.20228,0.29705,0.52735,0.97039
89,0.43465,0.43166,0.5197,0.52663,6.25e-05,63.4,0.77219,0.64634,0.63595,0.35073,0.3172,0.53822,0.2175,0.29129,0.52617,0.97069
90,0.44112,0.4332,0.51674,0.52662,6.25e-05,63.4,0.7739,0.64647,0.63531,0.34576,0.31584,0.53574,0.22102,0.29707,0.52405,0.97107
91,0.43122,0.42982,0.52178,0.52445,6.25e-05,62.6,0.77024,0.64518,0.63379,0.3486,0.31486,0.53774,0.20736,0.2924,0.52374,0.97055
92,0.43479,0.42974,0.52027,0.52429,6.25e-05,82.3,0.7698,0.6458,0.63473,0.3543,0.3134,0.53511,0.20623,0.29184,0.52119,0.9705
93,0.43673,0.4304,0.51852,0.52723,6.25e-05,137.6,0.77183,0.64589,0.63572,0.35085,0.31477,0.54087,0.2175,0.29856,0.52559,0.97071
94,0.43545,0.43156,0.51975,0.52646,6.25e-05,63.9,0.77136,0.64696,0.63544,0.35119,0.31377,0.5401,0.2135,0.29716,0.52453,0.97057
95,0.43585,0.4306,0.51866,0.52564,6.25e-05,63.3,0.77085,0.64755,0.63702,0.35304,0.31493,0.53416,0.21387,0.2932,0.5212,0.97056
96,0.43804,0.43076,0.51835,0.52451,6.25e-05,63.1,0.7712,0.64677,0.63837,0.35662,0.31314,0.53697,0.21013,0.28778,0.51341,0.97067
97,0.43698,0.42977,0.51878,0.52657,6.25e-05,63.4,0.77178,0.64775,0.63797,0.35716,0.31748,0.54171,0.1975,0.29543,0.52839,0.97056
98,0.43537,0.43004,0.5185,0.52747,6.25e-05,63.9,0.7713,0.64659,0.63791,0.35404,0.3156,0.53747,0.21898,0.29854,0.52356,0.97067
99,0.43147,0.42904,0.52135,0.52435,6.25e-05,64.5,0.77189,0.64586,0.63591,0.35279,0.31384,0.53295,0.20968,0.29163,0.51823,0.97074
